#flows,iteration,r_threshold,imr_threshold,p_t,topk,is_correlated,#case_detect,len(class_dict)
4000,8,0.1,0.1,0.1,3,1,1,1
4000,8,0.1,0.1,0.1,3,0,1,1
4000,8,0.1,0.1,0.1,3,0,0,1
4000,8,0.1,0.1,0.1,3,1,1,1
4000,8,0.1,0.1,0.1,3,0,1,1
4000,8,0.1,0.1,0.1,3,0,0,1
4000,8,0.1,0.1,0.1,3,1,1,1
4000,8,0.1,0.1,0.1,3,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,8,0.1,0.1,0.1,4,0,0,1
4000,8,0.1,0.1,0.1,4,1,1,1
4000,8,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,1,0,0,1
4000,9,0.1,0.1,0.1,1,1,0,1
4000,9,0.1,0.1,0.1,1,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,2,0,0,1
4000,9,0.1,0.1,0.1,2,1,1,1
4000,9,0.1,0.1,0.1,2,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,3,0,0,1
4000,9,0.1,0.1,0.1,3,1,1,1
4000,9,0.1,0.1,0.1,3,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
4000,9,0.1,0.1,0.1,4,0,0,1
4000,9,0.1,0.1,0.1,4,1,1,1
4000,9,0.1,0.1,0.1,4,0,1,1
